precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
945.000;Piso en Calle de Juan Martín El Empecinado Palos de la Frontera;126;3;Planta 2ª exterior con ascensor;/inmueble/108612779/;"
Gilmar tiene el honor de presentaros esta exclusiva vivienda reformada con garaje y trastero junto a Atocha.
Espectacular vivienda reformada, ubicada en una de las zonas más consolidadas y bien comunicadas de Madrid. Originalmente de 4 dormitorios, ha sido rediseñada para ofrecer 3 amplios dormitorios y un salón de mayor tamaño, exterior, muy luminoso y con acceso directo a un balcón a la calle, ideal para disfrutar del aire libre y la luz natural.
La cocina independiente, reformada con materiales de calidad y electrodomésticos de alta gama,
";arganzuela
1.400.000;Piso en Calle de Embajadores Legazpi;202;4;Planta 4ª exterior con ascensor;/inmueble/109130567/;"
En el corazón del prestigioso barrio de Metales, dentro del distrito de Arganzuela en Madrid, se encuentra esta espectacular vivienda de lujo construida en 2006 por la reconocida promotora BALUARTE. Con una superficie de 202 m², esta propiedad destaca por sus acabados de alta calidad y un diseño pensado para satisfacer las necesidades más exigentes. Con orientación oeste, este piso ofrece una luminosidad excepcional y vistas privilegiadas que convierten cada rincón en un espacio acogedor y sofisticado.
La vivienda cuenta con un salón comedor i
";arganzuela
357.000;Piso en Calle de Carvajales Acacias;59;1;Bajo interior con ascensor;/inmueble/107297535/;"
Este luminoso Piso de 60m², que cuenta con una maravillosa terraza de 18m2 independiente y de uso privativo del inmueble como consta en las escrituras, es no solo la oportunidad perfecta para invertir, sino un piso para vivir en el mas absoluto silencio dentro de una ciudad como Madrid.
La Finca con ascensor está perfectamente conservada y rehabilitada hace 2 años.
El piso, reformado recientemente, esta totalmente amoblado, es la opción ideal para quienes buscan comodidad e independencia en una ubicación céntrica. Más que un simple piso, su e
";arganzuela
730.000;Piso en Calle Eros Legazpi;144;3;Planta 1ª exterior con ascensor;/inmueble/108800910/;"
CONTACTAR CON EXTENSIÓN Nº3
Piso en venta en la zona de Legazpi, distrito de Arganzuela, Madrid. Excelente ubicación junto a Méndez Álvaro.
La vivienda se sitúa en una primera planta con ascensor, dentro de una urbanización privada que ofrece excelentes zonas comunes: piscina, pista de pádel, gimnasio, zona infantil y seguridad 24 horas.
El inmueble cuenta con un total de 144 m2 construidos, incluidos las zonas comunes y los anejos; trastero y garaje. Los metros útiles de la vivienda son de 81 m2,
Se distribuye en:
- Recibidor
- Amplio
";arganzuela
1.400.000;Piso en Calle de Embajadores Legazpi;202;4;Planta 4ª exterior con ascensor;/inmueble/109172985/;"
Fabulosa propiedad en exclusiva urbanización construida por la reconocida constructora Baluarte, sinónimo de calidad y prestigio.
Ubicada en la zona residencial de Legazpi, en el privilegiado “Barrio de los Metales”. Esta magnífica vivienda destaca por sus 202 m² construidos (157 m² útiles), con un diseño moderno, materiales de lujo, mucha luminosidad y un entorno seguro y privado.
La finca cuenta con conserjería 24 horas, cámaras de videovigilancia, acceso mediante llave magnética personalizada y sistemas de seguridad de última generación.
D
";arganzuela
940.000;Piso en Paseo de las Acacias Acacias;141;4;Planta 5ª exterior con ascensor;/inmueble/107918238/;"
Descubre esta impresionante vivienda en altura situada en el exclusivo barrio de Acacias, en el distrito de Arganzuela, Madrid. Este piso de lujo, con vistas a Madrid Río, se encuentra en una excelente finca con portero, ofreciendo una experiencia de vida sofisticada y cómoda.
La propiedad, construida en 1986, cuenta
";arganzuela
570.000;Piso en Calle del Duque de Tovar Imperial;70;1;Planta 9ª exterior con ascensor;/inmueble/108937882/;"
Esta impresionante vivienda se encuentra en la exclusiva zona Mahou - Calderón, en el distrito de Arganzuela, en Madrid. Es un lujoso inmueble de 1 dormitorio y 1 baño, listo para entrar a vivir. Con una ubicación inmejorable, este inmueble ofrece todas las comodidades y servicios necesarios para disfrutar de una vida
";arganzuela
575.000;Piso en Calle de Embajadores Delicias;103;3;Planta 3ª exterior con ascensor;/inmueble/108011866/;"
Descubre esta excepcional vivienda en altura, un piso exterior ubicado en el emblemático barrio de Embajadores, en el distrito Centro de Madrid. Construido en 1945, este inmueble ofrece una combinación perfecta de historia y modernidad, con todas las comodidades que uno podría desear. Con 103.70 metros cuadrados constr
";arganzuela
685.000;Piso en Paseo de las Acacias Acacias;136;4;Planta 5ª exterior con ascensor;/inmueble/108219436/;"
**Piso en Venta en Paseo de las Acacias, Madrid**Vistas panorámicas****
Descubre este espectacular piso exterior en el emblemático Paseo de las Acacias, con una superficie total de 136 m² construidos y 122 m² útiles. Con 4 amplios dormitorios y 2 baños completos, este hogar es ideal para familias que buscan espacio y
";arganzuela
630.000;Piso en Paseo de las Delici s/n;118;4;Planta 1ª exterior con ascensor;/inmueble/107161958/;"
En Flimasa NO cobramos al comprador. - Amplia vivienda con terraza ubicada en el corazón de Madrid, en el prestigioso Paseo de las Delicias, esta vivienda de 118 m² ofrece una excelente oportunidad para diseñar tu nuevo hogar.
Situada en una primera planta de un edificio con ascensor, la propiedad destaca por su gran
";arganzuela
