precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
2.550.000;Ático en Calle de Claudio Coello Recoletos;130;2;Planta 6ª exterior con ascensor;/inmueble/108127673/;"
DIZA Consultores les presenta este magnifico ático en la mejor zona del Barrio Salamanca, junto a la calle Serrano.
La vivienda se encuentra en la sexta planta de de mediados del siglo XX con una espectacular terraza, reformado con calidades sobresalientes.
Cuenta con una superficie de 130 metros cuadrados, de los cuales 10 en terraza, y el inmueble se distribuye de manera funcional y moderna, destacando por su luminosidad y vistas al vibrante centro de la ciudad.
En la zona social, encontramos un gran espacio abierto con salón, comedor y c
";barrio-de-salamanca
3.000.000;Dúplex en Calle de Padilla Lista;287;4;Planta 5ª exterior con ascensor;/inmueble/107792540/;"
DIZA Consultores presenta ático dúplex con jacuzzi privado en la promoción de obra nueva más deseada del Barrio Salamanca.
En la quinta planta de un edificio rehabilitado íntegramente donde únicamente se ha conservado la fachada, se encuentra este luminoso ático dúplex de 267 metros cuadrados con 85 en terraza.
La urbanización cuenta con unas zonas comunes excepcionales, con una piscina exterior con zona de solárium, jardín con césped natural, chill out y gimnasio de lujo.
La vivienda cuenta en la planta quinta del edificio con una amplia z
";barrio-de-salamanca
1.520.000;Piso en Calle de Castelló Recoletos;83;2;Planta 3ª exterior con ascensor;/inmueble/109196984/;"
Excelente Vivienda Reformada con Balcones en el Corazón del Barrio de Salamanca
ÚNICA Inmobiliaria se complace en presentar una estupenda vivienda recién reformada con un diseño excepcional, ubicada en una preciosa finca clásica que emana el encanto del Madrid más tradicional.
Situada en una tercera planta exterior, esta luminosa propiedad de 83 m² catastrales ofrece un ambiente acogedor y moderno. El salón-comedor, orientado al oeste y con dos balcones exteriores, permite disfrutar de la luz natural de la tarde y del ambiente vibrante del ba
";barrio-de-salamanca
3.700.000;Piso en Calle de Núñez de Balboa Recoletos;275;4;Planta 2ª exterior con ascensor;/inmueble/108351967/;"
Exclusiva vivienda con reforma de lujo en el corazón de Recoletos
Engel & Völkers presenta esta magnífica vivienda de alto standing de 275 m² situada en una de las zonas más codiciadas de la ciudad. La propiedad ha sido completamente reformada con materiales y acabados de la más alta calidad, ofreciendo una combinación perfecta entre elegancia contemporánea y confort.
La zona de día, amplia y luminosa, ha sido diseñada para disfrutar de espacios abiertos y funcionales, ideales tanto para el día a día como para recibir invitados. La vivienda cu
";barrio-de-salamanca
2.690.000;Piso en Calle Alcalá Goya;320;4;Planta 6ª exterior con ascensor;/inmueble/108357057/;"
Impresionante vivienda de lujo con vistas espectaculares
Descubra una propiedad única en el corazón de Madrid. Esta imponente vivienda de 321 m² situada en una sexta planta exterior le ofrece una experiencia de lujo, confort y amplitud difícil de encontrar en la ciudad.
Al ingresar, encontrará un luminoso recibidor, con aseo de cortesía, que da acceso a un dormitorio con baño en suite para invitados o servicio.
Nos adentramos hacia a un espectacular salón-comedor de tres ambientes, diseñado para ofrecer diferentes zonas de estar y entretenimi
";barrio-de-salamanca
1.390.000;Piso en Goya Madrid;150;3;Planta 5ª exterior con ascensor;/inmueble/106904536/;"
UNICA Inmobiliaria comercializa esta vivienda ubicada en el exclusivo entorno del Barrio Salamanca, ubicada en un edificio de 1943.
La orientación sur y las terrazas, de las que podemos disfrutar tanto en el salón como la cocina, y en dos de los dormitorios, dan luminosidad y confort durante todo el año.
La vivienda de 155 m² y de reforma completa reciente, está distribuida en salón con dos ambientes, cocina independiente, tres dormitorios y dos baños completos, uno de los dormitorios con baño en suite.
El hall de entrada da paso al salón, de
";barrio-de-salamanca
5.100.000;Piso en Calle Alcalá Recoletos;270;4;Planta 4ª exterior con ascensor;/inmueble/108948953/;"
DIZA consultores les presenta vivienda singular con balcones con vistas laterales al Retiro, a un paso del parque y la Puerta de Alcalá.
La vivienda se encuentra en la cuarta planta de un edificio clásico de principios del siglo XX, íntegramente reformado de diseño, donde han preservado elementos originales de la época, como son las molduras, cada una con un diseño distinto para cada estancia, las puertas y los balcones.
El piso cuenta con 270 metros cuadrados distribuidos en tres amplias zonas de salones, con unas vistas únicas inundadas de
";barrio-de-salamanca
1.990.000;Piso en Calle del Príncipe de Vergara Castellana;148;3;Planta 5ª exterior con ascensor;/inmueble/107720088/;"
DIZA consultores presenta vivienda reformada que destaca por su diseño elegante, su amplitud y la gran cantidad de luz natural que recibe. Su distribución ha sido cuidadosamente diseñada para ofrecer el máximo confort y funcionalidad.
Al acceder a la vivienda, nos encontramos con un espacio diáfano y acogedor que integra la zona social. La cocina, completamente equipada y con una moderna península, se fusiona con el comedor y el salón, creando un ambiente perfecto para el día a día y para el entretenimiento. Además, en la entrada se dispone un
";barrio-de-salamanca
5.925.000;Piso en Calle de José Ortega y Gasset Castellana;370;3;Planta 2ª exterior con ascensor;/inmueble/108924840/;"
DIZA Consultores les presenta piso de ultra lujo recién reformado en Ortega y Gasset, una de las calles más exclusivas del Barrio Salamanca.
En la segunda planta de un edificio construido a mediados del siglo XX se encuentra este piso recién reformado con calidades sublimes y mucha luz.
La zona social cuenta cuenta con un salón, comedor muy grande con bar de diseño y acceso a la terraza. La cocina está semi integrada al espacio. Tiene una gran isla de acero inoxidable y electrodomésticos de alta gama.
La zona de descanso se comunica por un
";barrio-de-salamanca
2.850.000;Piso en Calle de Goya Goya;280;3;Planta 1ª exterior con ascensor;/inmueble/107873687/;"
Exclusiva vivienda en el prestigioso Barrio de Salamanca, en la emblemática Calle de Goya.
Con una superficie de 280 m², la zona principal dispone de un amplio y luminoso salón-comedor de 90m2 orientado al sur, mas terraza privada de 15m2 aprox. La zona de descanso cuenta con tres master suite, con vestidores de gran tamaño. La cocina, de 33m2 mas área de office y zona de lavandería independiente. Uno de las master suite, es un apartamento con entrada independiente, aproximadamente de 40m2.
Esta espectacular propiedad ha sido rehabilitada co
";barrio-de-salamanca
7.900.000;Piso en Calle de José Ortega y Gasset Castellana;473;4;Planta 2ª exterior con ascensor;/inmueble/107145320/;"
AMBASSADOR ofrece este piso vanguardista reformado en su totalidad con calidades de alta gama de 473 m2, situado en una de las calles más emblemáticas del barrio de Salamanca, José Ortega y Gasset, cerca de Castellana.
Entramos a la casa a través de un gran hall distribuidor. Todas las estancias principales - salón, dos comedores y zona de estar con chimenea - están separadas por puertas correderas.  Todas estas zonas son especialmente agradable por su luminosidad con orientación sur y sus 5 balcones a la calle.
Tiene tres amplos dormitorios
";barrio-de-salamanca
3.000.000;Piso en Calle de Serrano Castellana;191;2;Planta 5ª exterior con ascensor;/inmueble/107456787/;"
AMBASSADOR ofrece, en pleno corazón del barrio de Salamanca, una vivienda que goza de una privilegiada situación.  La fachada de configuración tradicional madrileña, con acabado de revoco y bellos elementos de cerrajería en especial los del chaflán contrasta con la de la ampliación del edificio resuelta con cerámica terracota en fachada ventilada.  En definitiva, este edificio de 1900 y reformado en 2008 brinda un concepto diferente de vivienda que cubre las necesidades más exigentes. Cuida cada detalle de manera impoluta, refleja estilo en cad
";barrio-de-salamanca
940.000;Piso en Calle del Conde de Peñalver Goya;98;2;Planta 6ª exterior con ascensor;/inmueble/109024795/;"
Fantástico piso en Goya.
Engel & Völkers, inmobiliaria de lujo, tiene el placer de presentar esta fantástica propiedad en Goya.
La vivienda, situada en una luminosa y tranquila sexta planta con vistas despejadas, tiene una perfecta distribución; accedemos a un recibidor que nos da paso al comedor que se comunica con la cocina, semi integrados con el salón. Dos dormitorios en suite completan esta cómoda vivienda ideal para familias o quienes buscan un espacio versátil.
Todas las estancias reciben luz natural, consiguiendo espacios luminosos, c
";barrio-de-salamanca
