precio,localidad,tamanio,habitaciones,descripcion,link,descripcion_larga,distrito
220.000,Piso en San Diego Madrid,51,2,Planta 4ª exterior con ascensor,/inmueble/108353745/,"
Magnífica oportunidad de inversión en el barrio de San Diego, Puente de Vallecas
Presentamos este encantador piso de 51 m², situado en el corazón del barrio de San Diego, en el distrito de Puente de Vallecas, Madrid. Construido en 1915 y ubicado en la última planta de un edificio que cuenta con ascensor, este inmueble
",puente-de-vallecas
362.000,Piso en Calle de la Maquinilla Palomeras sureste,92,3,Planta 1ª exterior con ascensor,/inmueble/109256189/,"
Servicheck inmobiliaria vende bonito piso exterior de 3 dormitorios, dos baños, plaza de garaje y trastero ubicado en un edificio moderno y bien mantenido. Con una distribución perfectamente aprovechada, la vivienda cuenta con un amplio salón luminoso con mirador, ideal para disfrutar de la luz natural durante todo el
",puente-de-vallecas
339.000,Chalet adosado en Calle de Bruno Abúndez Palomeras sureste,113,3,,/inmueble/107585491/,"
Descubre esta encantadora casa adosada en el corazón de Palomeras Sureste, Vallecas, Madrid. Con 113 m² de espacio, esta propiedad ofrece un lienzo perfecto para aquellos con visión. Tiene reforma completa de instalaciones de luz y agua según normativa vigente.
Dispone de 3 dormitorios y 2 baños, proporcionando un amb
",puente-de-vallecas
185.000,Piso en Calle del Puerto de Arlabán San Diego,61,3,Planta 1ª exterior sin ascensor,/inmueble/107990438/,"
¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad.
Clikalia presenta este piso ubicado en el barrio de San Diego, en Madrid.
La vivienda está ubicada en la 1 planta exterior sin ascensor. Dispone de una superficie total de 61 m², distribuidos en salón y comedor, cocina indepen
",puente-de-vallecas
346.000,Piso en Calle de Rafael Fernández Hijicos Palomeras sureste,107,3,Planta 3ª exterior con ascensor,/inmueble/109017208/,"
Magnífico piso de 107 m2, compuesto por un amplio salón, cocina amueblada y equipada con electrodomésticos, un dormitorio doble y dos dormitorios individuales, uno de ellos con acceso a la terraza acristalada, dos baños completos, uno con plato de ducha y otro con bañera, entrada recibidor. El inmueble cuenta con calef
",puente-de-vallecas
289.000,Piso en Calle Guadalcázar Entrevías,97,3,Planta 8ª exterior con ascensor,/inmueble/109007157/,"
Este espacioso piso en venta, ubicado en el barrio de Entrevías en Madrid, representa una excelente oportunidad para aquellos que buscan personalizar su futuro hogar. Con una generosa superficie de 97 metros cuadrados construidos, este inmueble se encuentra en una octava planta, ofreciendo vistas despejadas y una gran
",puente-de-vallecas
340.000,Dúplex en Calle de Ramón Calabuig San Diego,116,1,Bajo interior sin ascensor,/inmueble/108027353/,"
Loft de diseño con doble altura, jardín con jacuzzi y patio privado – Puente de Vallecas (junto a Avda. de la Albufera)
Descubre este espectacular loft de 3,90 m de altura en una de las zonas más bien comunicadas de Puente de Vallecas, a solo unos pasos de la Avenida de la Albufera y con todos los servicios cerca. Una
",puente-de-vallecas
140.000,Piso en Calle de Tomás Esteban San Diego,58,1,Planta 3ª interior sin ascensor,/inmueble/109071703/,"
Presentamos en exclusiva este inmueble con inquilino en vigor y alta rentabilidad garantizada. Actualmente se encuentra alquilado con una renta mensual de 830 €, lo que supone una rentabilidad bruta aproximada del 7,1% anual sobre el precio de venta (140.000 €). Una inversión segura, con ingresos desde el primer día.
",puente-de-vallecas
249.900,Piso en Calle de Jadraque Portazgo,72,3,Planta 3ª exterior sin ascensor,/inmueble/109136150/,"
Inmobiliaria VOhome propiedades La Gavia vende piso en el barrio de Portazgo.
Se vende acogedor piso ubicado en la tercera y última planta de un edificio sin ascensor, en una zona peatonal muy tranquila del barrio de Portazgo. Ideal para familias, parejas o inversores que busquen tranquilidad sin renunciar a una excel
",puente-de-vallecas
179.000,Piso en Calle del Doctor Sánchez San Diego,54,3,Planta 2ª exterior con ascensor,/inmueble/108157369/,"
¡Oportunidad en Madrid!
Descubre este piso en venta, ubicado en una de las zonas más consolidadas y bien comunicadas de Madrid. Con 3 habitaciones y 1 baño completo, esta vivienda es ideal para familias o quienes buscan comodidad y espacio.
Características principales:
- Superficie bien distribuida con estancias lumi
",puente-de-vallecas
265.000,Piso en Avenida de la Albufera San Diego,78,2,Planta 2ª exterior sin ascensor,/inmueble/108814349/,"
En el corazón del distrito de Puente de Vallecas, se encuentra esta magnífica vivienda exterior a la emblemática Avenida de la Albufera, ubicada en la última planta de un edificio clásico construido en 1910. Con una superficie construida de 78 m² y una distribución que aprovecha al máximo cada espacio, esta propiedad e
",puente-de-vallecas
105.000,Estudio en Avenida de San Diego San Diego,Bajo,22,,/inmueble/104404869/,"
Si buscas una buena inversión, esta es tu oportunidad.
VIVALTA INMOBILARIA vende en EXCLUSIVA, este estudio REFORMADO exterior de 22 m2 construidos distribuidos en un ambiente principal amplio con 2 ventanas al exterior, que le otorga a toda la vivienda una gran luminosidad, cocina americana totalmente equipada con el
",puente-de-vallecas
290.000,Piso en Avenida de las Glorietas Entrevías,97,3,Planta 6ª exterior con ascensor,/inmueble/109173637/,"
En venta este magnífico piso en la Avenida de las Glorietas, una ocasión única para quienes buscan amplitud, luz natural y vistas despejadas en una de las zonas más agradables del sur de Madrid.
La vivienda, de 97 m², se distribuye en tres dormitorios, un baño amplio y un salón generoso con acceso directo a una terraz
",puente-de-vallecas
229.000,Piso en Calle Riojanos s/n,105,3,Planta 6ª exterior con ascensor,/inmueble/108836897/,"
Hminmobiliaria tiene Tú PIsO! en c/Riojanos! 6º planta con ASCENSOR! a 150 m de la Avenida de la Albufera y a 5 min Estación de Metro de ""Miguel Hernández!
¡TÚ PROPIEDAD por MENOS de un ALQUILER! COMPRA tú PISO y OLVIDATE del ALQUILER!
VER VIDEO!
100% FINANCIACIÓN! SIN ENTRADA! SIN COMISIONES! SIN AVALES!
Buena opc
",puente-de-vallecas
206.000,Piso en Calle de Carlos Solé Portazgo,83,3,Bajo exterior con ascensor,/inmueble/107989719/,"
Hminmobiliaria tiene Tú PISO en la zona de ""Buenos Aires"", 3 dormitorios! 100% FINANCIACIÓN! SIN ENTRADA! SIN COMISIONES!
¡TÚ PROPIEDAD por MENOS de un ALQUILER! COMPRA tú PISO y OLVIDATE del ALQUILER!
VER VIDEO!
Buena opción como PRIMERA VIVIENDA o como INVERSION!
Solo con tus INGRESOS y los gastos de escrituras!
",puente-de-vallecas
229.000,Piso en Calle Riojanos Palomeras sureste,105,3,Planta 6ª exterior con ascensor,/inmueble/108913816/,"
¡ TU PROPIEDAD por MENOS de un ALQUILER!
¡ FINANCIACIÓN 100 %! . ¡ SIN COMISIÓN de AGENCIA y SIN Aportar AVALES!
¡ SIN entrada, SÓLO con tu nomina y APORTANDO los gastos de ESCRITURACIÓN!
Madrid. Zona Puente de Vallecas - Palomeras Sureste. Amplio piso luminoso de 105 m2, Dispone de 3 dormitorios, 2 baños (1 con pla
",puente-de-vallecas
147.000,Piso en Calle del Doctor Bellido s/n,50,2,Planta 1ª exterior sin ascensor,/inmueble/108395609/,"
Hminmobiliaria tiene Tú CASA, Tú PISO,.. . en Puente Vallecas, 2 dormitorios, 45m, 100% FINANCIACIÓN! SIN COMISIONES!
¡TÚ PROPIEDAD por MENOS de un ALQUILER! COMPRA tú PISO y OLVIDATE del ALQUILER!
VER VIDEO!
Buena opción como PRIMERA VIVIENDA o como INVERSION!
Solo con tus INGRESOS y los gastos de escrituras! NAD
",puente-de-vallecas
239.000,Piso en Travesía de Felipe de Diego s/n,82,2,Planta 12ª exterior con ascensor,/inmueble/107169654/,"
Hminmobiliaria tiene TÚ CASA en EL POZO de Vallecas, con una vistas ESPECTACULARES! en una 12º planta (no es el último) con ASCENSOR! 100% FINANCIACIÓN!
¡TÚ PROPIEDAD por MENOS de un ALQUILER!
COMPRA tú PISO y OLVÍDATE del ALQUILER!
VER VIDEO!
100% FINANCIACIÓN! SIN ENTRADA! SIN COMISIONES! SIN AVALES!
Buena opci
",puente-de-vallecas
270.000,Piso en Calle Santa Cruz de Retamar Palomeras sureste,100,3,Planta 9ª exterior con ascensor,/inmueble/109102449/,"
Inmonieves comercializa inmueble de 87 metros útiles distribuidos en:
DISTRIBUCIÓN:
Hall de entrada, salón independiente con terraza exterior cubierta, pasillo distribuidor con armario empotrados, tres dormitorios con armarios empotrados, dos cuartos de baño uno con bañera y bidet y el otro con plato ducha, cocina muy
",puente-de-vallecas
270.000,Piso en Calle de Ramón Pérez de Ayala Numancia,106,3,Planta 1ª exterior con ascensor,/inmueble/108115474/,"
Hminmobiliaria tiene Tú PISO, 3 dormitorios, 1º planta exterior! Muy buen estado!
¡TÚ PROPIEDAD por MENOS de un ALQUILER! COMPRA tú PISO y OLVIDATE del ALQUILER!
VER VIDEO!
100% FINANCIACIÓN! SIN ENTRADA! SIN COMISIONES! SIN AVALES!
Buena opción como PRIMERA VIVIENDA o como INVERSION!
Solo con tus INGRESOS y los g
",puente-de-vallecas
